Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,Year,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
2017-12-31,LRCX US Equity,5.3,2.08,4.81,Lam Research,LRCX,-0.040292397804186,2017,0.2296983758700697,0.1428571428571428,0.08823529411764697,-26.260890047910586,0
2017-12-31,NVDA US Equity,6.52,3.81,5.77,NVIDIA,NVDA,-0.0359224234862459,2017,0.006172839506172645,0.09169054441260749,0.019434628975264934,-1.22778920336969,0
2017-12-31,9984 JP Equity,1.84,1.91,2.53,SoftBank,9984.T,-0.0595677166481893,2017,0.0,0.12352941176470589,0.054166666666666696,-1.3796949114558488,0
2017-12-31,MSFT US Equity,6.2,0.89,4.15,Microsoft,MSFT,0.0162766027063743,2017,-0.05343511450381677,0.4126984126984128,0.014669926650366927,-0.4782854169935866,0
2017-12-31,TSLA US Equity,1.65,4.31,3.36,Tesla,TSLA,0.0080945133389347,2017,0.0,0.38585209003215426,0.09803921568627438,-0.9368834527697022,1
2017-12-31,TSM US Equity,4.0,2.85,3.87,TSMC,TSM,0.0012627867814229,2017,0.10192837465564741,-0.21703296703296704,-0.01526717557251911,-1.0398853837682134,0
2017-12-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.0097388686223884,2017,0.3393501805054151,0.10377358490566024,0.17948717948717952,-0.825579266548699,1
2017-12-31,GOOGL US Equity,3.36,0.99,2.69,Alphabet (Google),GOOGL,0.0166284343690512,2017,0.08387096774193536,0.33783783783783794,0.08467741935483875,-0.22138892522558895,1
2017-12-31,META US Equity,5.85,1.32,3.46,Meta Platforms,META,-0.0040634394687488,2017,0.5940054495912805,0.6097560975609757,0.2910447761194028,-0.8572124191481513,1
2017-12-31,CLS CN Equity,2.92,1.72,3.23,Celestica,CLS,-0.0332103879413339,2017,0.06959706959706957,0.029940119760479167,0.03858520900321549,0.3902557725645692,0
2017-12-31,AMD US Equity,6.88,3.97,5.96,AMD,AMD,-0.0560147466593595,2017,0.014749262536873031,0.044736842105263186,0.03114186851211076,-1.2053873751063657,0
2017-12-31,6857 JP Equity,6.07,2.58,4.75,Advantest,6857.T,-0.0644296000816174,2017,0.1261595547309835,0.5925925925925926,0.27005347593582885,-1.23964134816437,1
2017-12-31,MU US Equity,3.47,2.53,4.16,Micron Technology,MU,-0.0299600948956773,2017,0.4579831932773111,0.0,0.11827956989247301,-1.24482045823439,0
2017-12-31,AMZN US Equity,0.35,2.47,2.46,Amazon,AMZN,-0.0061865684018398,2017,0.12903225806451601,0.0,0.016528925619834656,5.63353262888104,0
2018-12-31,META US Equity,5.76,1.41,3.5,Meta Platforms,META,-0.0677050271481232,2018,-0.01538461538461533,0.06818181818181812,0.011560693641618602,15.661999684954257,0
2018-12-31,9984 JP Equity,1.84,1.91,2.52,SoftBank,9984.T,-0.2331513828864233,2018,0.0,0.0,-0.0039525691699603405,2.9140560693878883,0
2018-12-31,LRCX US Equity,5.59,3.27,5.4,Lam Research,LRCX,-0.1264873191022242,2018,0.05471698113207557,0.5721153846153846,0.12266112266112272,2.1392353395528954,1
2018-12-31,CLS CN Equity,2.79,2.44,3.56,Celestica,CLS,-0.1477161817030399,2018,-0.044520547945205435,0.4186046511627908,0.10216718266253877,3.4478908817319542,1
2018-12-31,6857 JP Equity,6.19,2.59,4.84,Advantest,6857.T,-0.0788174882558178,2018,0.01976935749588149,0.003875968992248069,0.0189473684210526,0.22331177216643106,0
2018-12-31,AMD US Equity,6.85,4.64,6.23,AMD,AMD,-0.1333333452729183,2018,-0.0043604651162790775,0.1687657430730478,0.04530201342281881,1.3803257753490104,0
2018-12-31,MPWR US Equity,1.44,2.15,2.76,Monolithic Power Systems,MPWR,-0.1174641069955194,2018,0.014084507042253502,0.3271604938271604,0.05343511450381677,1.4007773503529637,0
2018-12-31,TSLA US Equity,1.65,3.85,3.24,Tesla,TSLA,-0.050445120571447,2018,0.0,-0.1067285382830625,-0.03571428571428559,-7.232014014827228,0
2018-12-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.1084969673239243,2018,0.08086253369272223,-0.3076923076923076,-0.03532608695652184,-12.140613096936516,0
2018-12-31,MSFT US Equity,6.0,0.91,4.11,Microsoft,MSFT,-0.0840473444521997,2018,-0.032258064516129115,0.022471910112359605,-0.009638554216867434,-6.163690849275616,0
2018-12-31,TSM US Equity,4.02,2.83,4.19,TSMC,TSM,-0.0180898313178681,2018,0.004999999999999893,-0.007017543859649145,0.08268733850129206,-15.325325212451618,0
2018-12-31,MU US Equity,3.99,3.34,4.6,Micron Technology,MU,-0.1771267770775912,2018,0.1498559077809798,0.32015810276679857,0.10576923076923062,4.912089988177821,1
2018-12-31,AMZN US Equity,4.31,2.14,3.85,Amazon,AMZN,-0.1113497000640443,2018,11.314285714285713,-0.1336032388663968,0.5650406504065042,16.998621017579055,2
2018-12-31,NVDA US Equity,6.91,5.75,6.51,NVIDIA,NVDA,-0.1831366772227538,2018,0.059815950920245387,0.5091863517060367,0.12824956672443677,4.098115868849266,1
2018-12-31,GOOGL US Equity,3.29,1.64,3.08,Alphabet (Google),GOOGL,-0.058297638517039,2018,-0.02083333333333326,0.6565656565656566,0.14498141263940534,-4.505900629198285,1
2019-12-31,CLS CN Equity,3.37,2.44,3.7,Celestica,CLS,0.0670968332598287,2019,0.20788530465949817,0.0,0.0393258426966292,-1.45422805061883,0
2019-12-31,6857 JP Equity,6.34,2.57,5.04,Advantest,6857.T,0.1514018808296662,2019,0.024232633279482885,-0.007722007722007707,0.04132231404958686,-2.9209173519747464,0
2019-12-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.1755645924384494,2019,-0.12468827930174564,0.9753086419753085,0.10985915492957754,-2.6181520716085145,1
2019-12-31,AMD US Equity,6.89,6.01,6.69,AMD,AMD,0.1713920516717533,2019,0.005839416058394109,0.29525862068965525,0.07383627608346699,-2.285440272430975,0
2019-12-31,MU US Equity,3.79,4.39,5.08,Micron Technology,MU,0.1319722924497139,2019,-0.05012531328320802,0.3143712574850299,0.10434782608695659,-1.7450725103630313,1
2019-12-31,9984 JP Equity,2.13,1.91,2.67,SoftBank,9984.T,0.1182694200268033,2019,0.15760869565217384,0.0,0.059523809523809534,-1.5072645015552695,0
2019-12-31,NVDA US Equity,6.88,5.76,6.46,NVIDIA,NVDA,0.0856327326670605,2019,-0.00434153400868309,0.0017391304347824654,-0.007680491551459223,-1.467589201495139,0
2019-12-31,GOOGL US Equity,4.4,1.65,3.46,Alphabet (Google),GOOGL,0.0270687764643775,2019,0.33738601823708225,0.0060975609756097615,0.12337662337662336,-1.4643202907175383,0
2019-12-31,TSLA US Equity,1.95,4.34,3.5,Tesla,TSLA,0.2678971533628465,2019,0.18181818181818188,0.1272727272727272,0.08024691358024683,-6.31066533944379,0
2019-12-31,MPWR US Equity,1.37,2.37,2.71,Monolithic Power Systems,MPWR,0.1104057765941393,2019,-0.04861111111111105,0.10232558139534897,-0.018115942028985477,-1.9399107473600483,0
2019-12-31,AMZN US Equity,3.29,2.14,3.63,Amazon,AMZN,0.026121694264473,2019,-0.23665893271461713,0.0,-0.05714285714285716,-1.2345915098958393,0
2019-12-31,META US Equity,5.83,1.16,3.31,Meta Platforms,META,0.0179030545731422,2019,0.012152777777777901,-0.17730496453900713,-0.05428571428571427,-1.2644272563981753,0
2019-12-31,MSFT US Equity,5.79,0.91,4.02,Microsoft,MSFT,0.041749317464097,2019,-0.03500000000000003,0.0,-0.021897810218978297,-1.4967357117135462,0
2019-12-31,LRCX US Equity,5.4,4.94,5.96,Lam Research,LRCX,0.100551018750421,2019,-0.03398926654740597,0.5107033639143732,0.10370370370370363,-1.7949494025496575,1
2019-12-31,TSEM IT Equity,1.79,1.62,2.89,Tower Semiconductor,TSEM,0.0976277090419723,2019,-0.04787234042553179,0.2558139534883721,0.010489510489510634,-2.508443163074719,0
2019-12-31,TSM US Equity,3.87,4.06,4.52,TSMC,TSM,0.1020130847438787,2019,-0.03731343283582078,0.4346289752650174,0.078758949880668,-6.63925019262706,1
2020-12-31,LRCX US Equity,4.79,4.99,5.64,Lam Research,LRCX,0.045994832456357,2020,-0.11296296296296304,0.010121457489878471,-0.05369127516778527,-0.5425721884477235,0
2020-12-31,TSM US Equity,3.92,4.95,4.7,TSMC,TSM,0.1286340442813383,2020,0.012919896640826822,0.21921182266009875,0.039823008849557695,0.26095632343925357,0
2020-12-31,TSLA US Equity,2.67,4.97,3.99,Tesla,TSLA,0.2432522802897654,2020,0.36923076923076925,0.14516129032258052,0.14000000000000012,-0.09199378479285836,0
2020-12-31,MU US Equity,3.6,6.47,5.64,Micron Technology,MU,0.1730379054561248,2020,-0.05013192612137207,0.4738041002277904,0.11023622047244097,0.3111684448616996,1
2020-12-31,MSFT US Equity,5.65,1.73,4.54,Microsoft,MSFT,0.0390058820374483,2020,-0.024179620034542215,0.901098901098901,0.12935323383084585,-0.06571210245551817,1
2020-12-31,MPWR US Equity,2.67,2.44,3.36,Monolithic Power Systems,MPWR,0.1462390621583162,2020,0.9489051094890508,0.029535864978902815,0.2398523985239851,0.32455987965107114,1
2020-12-31,NVDA US Equity,6.67,7.12,6.78,NVIDIA,NVDA,-0.025567380382133,2020,-0.03052325581395343,0.23611111111111116,0.049535603715170407,-1.2985701797178284,0
2020-12-31,TSEM IT Equity,2.4,1.62,3.14,Tower Semiconductor,TSEM,0.0556010082279561,2020,0.34078212290502785,0.0,0.08650519031141868,-0.43047922794078874,0
2020-12-31,META US Equity,7.35,1.18,3.76,Meta Platforms,META,-0.0137558866305195,2020,0.26072041166380777,0.01724137931034475,0.1359516616314198,-1.7683541696373872,0
2020-12-31,GOOGL US Equity,5.2,2.49,4.2,Alphabet (Google),GOOGL,-0.001003030825102,2020,0.18181818181818166,0.5090909090909093,0.21387283236994237,-1.0370549007422625,1
2020-12-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.2278222738570998,2020,0.16239316239316248,-0.03749999999999998,0.08121827411167515,0.29765501513052084,0
2020-12-31,CLS CN Equity,4.35,6.68,5.95,Celestica,CLS,0.0717130770212306,2020,0.29080118694362,1.737704918032787,0.6081081081081081,0.06879972626317188,1
2020-12-31,AMD US Equity,6.72,5.14,6.42,AMD,AMD,-0.0102525851509889,2020,-0.02467343976777936,-0.14475873544093176,-0.04035874439461895,-1.0598194901746345,0
2020-12-31,6857 JP Equity,6.46,5.14,6.01,Advantest,6857.T,0.0647382846106698,2020,0.018927444794952786,1.0,0.19246031746031744,-0.572407659297818,1
2020-12-31,AMZN US Equity,3.6,2.92,4.09,Amazon,AMZN,0.0280583830144842,2020,0.09422492401215798,0.36448598130841114,0.1267217630853994,0.07414100825171999,1
2020-12-31,9984 JP Equity,2.75,1.91,2.94,SoftBank,9984.T,0.1080858161784728,2020,0.29107981220657275,0.0,0.101123595505618,-0.08610513052336433,0
2021-12-31,TSM US Equity,4.4,4.85,4.85,TSMC,TSM,0.0312219740515591,2021,0.12244897959183687,-0.020202020202020332,0.03191489361702127,-0.7572806310647215,0
2021-12-31,NVDA US Equity,6.55,7.91,7.05,NVIDIA,NVDA,-0.0998099718900181,2021,-0.01799100449775115,0.11095505617977519,0.03982300884955747,2.9038012654502263,0
2021-12-31,9984 JP Equity,3.21,1.91,3.12,SoftBank,9984.T,-0.0988391178737125,2021,0.16727272727272724,0.0,0.061224489795918435,-1.9144504003236462,0
2021-12-31,GOOGL US Equity,5.2,2.51,4.24,Alphabet (Google),GOOGL,0.020821354288387,2021,0.0,0.008032128514056103,0.00952380952380949,-21.758439090114344,0
2021-12-31,TSEM IT Equity,1.26,2.29,2.82,Tower Semiconductor,TSEM,0.118376573199773,2021,-0.475,0.4135802469135801,-0.1019108280254778,1.129036450462304,0
2021-12-31,ENR GR Equity,4.52,2.72,4.24,Siemens Energy,ENR.DE,-0.0405290554962887,2021,0.02494331065759625,0.5722543352601157,0.11578947368421066,-1.1978771586826982,1
2021-12-31,AMZN US Equity,3.79,2.94,4.14,Amazon,AMZN,-0.0492519687882848,2021,0.05277777777777781,0.006849315068493178,0.012224938875305513,-2.7553388148868065,0
2021-12-31,MPWR US Equity,3.56,2.07,3.67,Monolithic Power Systems,MPWR,-0.1075692903078936,2021,0.3333333333333335,-0.15163934426229508,0.09226190476190488,-1.7355715273354306,0
2021-12-31,AMD US Equity,7.09,4.65,6.52,AMD,AMD,-0.0913683252310255,2021,0.055059523809523725,-0.09533073929961078,0.015576323987538832,7.911735321916609,0
2021-12-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,0.163172046287632,2021,0.13970588235294135,-0.038961038961038974,0.05633802816901423,-0.28377483235032275,0
2021-12-31,6857 JP Equity,6.78,5.12,6.25,Advantest,6857.T,0.0910911585961946,2021,0.049535603715170407,-0.0038910505836574627,0.03993344425956735,0.4070678446920335,0
2021-12-31,LRCX US Equity,4.94,5.04,5.68,Lam Research,LRCX,0.060128132544089,2021,0.03131524008350728,0.01002004008016022,0.007092198581560183,0.30728017329213286,0
2021-12-31,MU US Equity,4.47,5.26,5.68,Micron Technology,MU,0.1101111458672727,2021,0.24166666666666647,-0.18701700154559509,0.007092198581560183,-0.3636588146566978,0
2021-12-31,MSFT US Equity,6.28,3.4,5.47,Microsoft,MSFT,0.017332649214252,2021,0.1115044247787611,0.9653179190751444,0.2048458149779735,-0.5556401160827109,1
2021-12-31,TSLA US Equity,5.62,4.68,5.32,Tesla,TSLA,-0.0768545194785086,2021,1.1048689138576782,-0.05835010060362178,0.33333333333333326,-1.315945730855877,1
2021-12-31,AVGO US Equity,4.4,2.22,4.56,Broadcom,AVGO,0.2094832156756541,2021,3.1904761904761907,0.0,0.504950495049505,1.1030712585055902,1
2021-12-31,META US Equity,7.61,1.84,4.26,Meta Platforms,META,0.0366455158733241,2021,0.035374149659864074,0.5593220338983051,0.13297872340425543,-3.6639879244148843,1
2021-12-31,CLS CN Equity,4.75,6.16,5.81,Celestica,CLS,0.0879765994601251,2021,0.09195402298850586,-0.07784431137724546,-0.02352941176470602,0.226786007719062,0
2021-12-31,LITE US Equity,1.0,2.62,3.33,Lumentum,LITE,0.2189696984564566,2021,0.0,0.0650406504065042,0.07073954983922826,1.2463882334831462,0
2022-12-31,TSLA US Equity,4.62,4.66,5.03,Tesla,TSLA,-0.3673343490707852,2022,-0.1779359430604982,-0.004273504273504147,-0.05451127819548873,3.7796063466834324,0
2022-12-31,META US Equity,7.43,1.86,4.18,Meta Platforms,META,0.0189670030157642,2022,-0.02365308804205002,0.010869565217391353,-0.018779342723004744,-0.48241953855066,0
2022-12-31,LRCX US Equity,5.22,3.18,5.25,Lam Research,LRCX,-0.1069323143146074,2022,0.05668016194331971,-0.36904761904761907,-0.07570422535211263,-2.778407374222028,0
2022-12-31,FN US Equity,3.41,0.74,2.58,Fabrinet,FN,-0.0389026482193276,2022,0.23550724637681175,0.08823529411764697,0.13157894736842124,-1.543751542461956,0
2022-12-31,9984 JP Equity,3.81,1.99,3.42,SoftBank,9984.T,-0.0517473783028613,2022,0.1869158878504673,0.041884816753926746,0.09615384615384603,-0.47644840002538946,0
